text,label_name,prediction_name,probability
메디톡스대웅 보톡스 분쟁 ITC 최종판결 12월 16일로 재연기,사회,생활문화,0.2553056180477142
르포 상품성 좋은 우럭들인데… 쑥대밭 된 흑산도 양식장종합,사회,생활문화,0.2891763150691986
재미 건축가 박성기씨 WEC 도시설계 공모전서 1등상,사회,경제,0.3009267151355743
롤라워 Kiin김기인소년가장 짐덜고 강등권 탈출로,스포츠,경제,0.3015859723091125
카카오 협력업체 성공담 담은 월간지 창간,생활문화,사회,0.3062725663185119
그린벨트 해제 카드에 쏟아지는 훈수…고심 깊은 정부종합,정치,경제,0.3102782964706421
연세대 10월 말까지 전면 온라인 강의…전 과목 절대평가 허용종합,사회,사회,0.3199734687805176
코로나19 신규 확진 18명…58일 만에 첫 10명대종합,사회,스포츠,0.3211321830749511
與 친박·비박 우리는 하나다…한밤 폭탄주 회동종합,정치,사회,0.3229773342609405
리더에겐 인격적 소통능력 중요…성과만중시 독불장군형은 NO,생활문화,IT과학,0.3275129795074463
