text,label,label_name,prediction,prediction_name,probability,correct
5억원 무이자 융자는 되고 7천만원 이사비는 안된다,2,사회,1,경제,0.598904013633728,False
MBN 노조 부동산 물적분할 중단하고 소유경영 분리해야,2,사회,1,경제,0.8301175236701965,False
세종 경로당·어린이집 2주간 휴원…도서관·박물관도 운영 중단,2,사회,3,생활문화,0.6082274317741394,False
실업급여 신청은 늘고 채용은 중단…현실화하는 고용 위기,2,사회,1,경제,0.7737342715263367,False
최저임금 인상에 작년 저임금 노동자 비중 17%로 줄어,2,사회,1,경제,0.7650954127311707,False
두산밥캣 스캇성철박 단독 대표이사로 변경,2,사회,1,경제,0.4411692321300506,False
2021년 삼성디스플레이 정기 임원 인사,2,사회,1,경제,0.7467433214187622,False
한국 수출 회복 신호…코로나 재확산·미중 갈등은 변수,2,사회,1,경제,0.9414775371551514,False
쓰레기 투기 안 됩니다…완도 낚시터 양심신호등 효과 톡톡,2,사회,0,IT과학,0.6088888645172119,False
남수단 대통령·야권 지도자 교황 초청으로 교황청서 피정 돌입,6,정치,4,세계,0.9818955659866332,False
그래픽 사업체 종사자 증감률,2,사회,1,경제,0.6141183376312256,False
정부 싱가포르·일본·태국 등 6개국 여행 자제해달라,2,사회,3,생활문화,0.4509281814098358,False
수능 당일 마스크 꼭 써야 망사밸브형은 불가…단체 점심 안돼종합,2,사회,0,IT과학,0.873254656791687,False
속보 홍남기 중기 화학물질 시설 검사유예 연말까지 연장,2,사회,0,IT과학,0.4009523391723633,False
시노펙스 손경익·이진희 대표이사 체제로 변경,2,사회,1,경제,0.6959848403930664,False
코레일네트웍스 노조 파업…매표 등 큰 지장 없어종합,2,사회,1,경제,0.5657912492752075,False
마야 뱀왕조 비밀 풀 왕실 무덤 벨리즈서 발굴,4,세계,3,생활문화,0.565470814704895,False
이변의 주인공 김병원…삼수 끝에 농협회장 올라,2,사회,5,스포츠,0.8880733847618103,False
낙동강 구포나루축제 부산시 최우수축제에 선정,2,사회,3,생활문화,0.9635214805603028,False
올림픽 강원상품관 올림픽 특수…우수상품 홍보 효과,1,경제,3,생활문화,0.5325434803962708,False
